index,sentimentsum,sentimentavg
0,29,1.4499999999999997
1,20,1
2,49,1.5806451612903227
3,-6,-0.1333333333333335
4,18,0.857142857142857
5,19,0.44186046511627924
6,6,0.20689655172413798
7,20,0.5263157894736842
8,7,0.21875
9,29,0.7435897435897436
10,48,1
11,31,0.43661971830985913
12,16,0.34042553191489355
13,86,1.7551020408163267
14,54,1.2558139534883719
15,23,0.6969696969696968
16,48,1.4117647058823528
17,62,1.2916666666666665
18,59,1.5128205128205128
19,6,0.35294117647058804
20,27,0.8181818181818181
21,26,0.440677966101695
22,22,0.7333333333333332
23,25,0.6097560975609755
24,44,1.1282051282051282
25,26,0.666666666666667
26,31,1.0689655172413794
27,22,0.5641025641025642
28,-28,-0.8
29,10,0.24390243902439016
30,7,0.5833333333333333
